chapter_number,original_title,modernized_title,changes
4,HEREJE AT FILIBUSTERO,EREHE AT PILIBUSTERO,HEREJE->EREHE; FILIBUSTERO->PILIBUSTERO
6,CAPITANG TIAGO,KAPITANG TIAGO,CAPITANG->KAPITANG
7,"MAIROG NA SALITAAN SA ISANG ""AZOTEA""","MAIROG NA SALITAAN SA ISANG ""ASOTEA""",AZOTEA->ASOTEA
15,ANG MGA SACRISTAN,ANG MGA SAKRISTAN,SACRISTAN->SAKRISTAN
19,MGA KINASAPITAN NG ISANG MAESTRO SA ESCUELA,MGA KINASAPITAN NG ISANG MAESTRO SA ESKWELA,ESCUELA->ESKWELA
26,"ANG ""VISPERA"" NG ""FIESTA.""","ANG ""BISPERA"" NG ""PIYESTA.""",VISPERA->BISPERA; FIESTA->PIYESTA
32,"ANG ""CABRIA"".","ANG ""KABRYA"".",CABRIA->KABRYA
33,LAYANG-CAISIPAN.,LAYANG-KAISIPAN.,LAYANG-CAISIPAN->LAYANG-KAISIPAN
37,ANG GOBERNADOR GENERAL,ANG GOBERNADOR HENERAL,GENERAL->HENERAL
38,ANG PROCESION.,ANG PROSESYON.,PROCESION->PROSESYON
44,PAGSISIYASAT NG CONCIENCIA.,PAGSISIYASAT NG KONSENSYA.,CONCIENCIA->KONSENSYA
47,ANG DALAWANG GUINOONG BABAE.,ANG DALAWANG GINOONG BABAE.,GUINOONG->GINOONG
54,ANG CAPAHAMACAN.,ANG KAPAHAMAKAN.,CAPAHAMACAN->KAPAHAMAKAN
62,ANG GABING SINUSUNDAN NG PASCO NG PANGANGANAC.,ANG GABING SINUSUNDAN NG PASKO NG PANGANGANAC.,PASCO->PASKO
