chapter_number,original_title,normalized_title,notes
1,Sa Ibabaw ng Kubyerta,SA IBABAW NG KUBYERTA,Normalized (Formatting/Artifacts)
2,Sa Ilalim ng Kubyerta,SA ILALIM NG KUBYERTA,Normalized (Formatting/Artifacts)
3,III MgA ALAMAT,MGA ALAMAT,Normalized (Formatting/Artifacts)
4,IV SI KABISANG TALES,SI KABISANG TALES,Normalized (Formatting/Artifacts)
5,V ANG “NOCHE BUENA” Ng ISANG KOTSERO,ANG “NOCHE BUENA” NG ISANG KOTSERO,Normalized (Formatting/Artifacts)
6,VI SI BASILIO,SI BASILIO,Normalized (Formatting/Artifacts)
7,VII SI SIMOUN,SI SIMOUN,Normalized (Formatting/Artifacts)
8,VIII ¡MABUTING PASKO!,¡MABUTING PASKO!,Normalized (Formatting/Artifacts)
9,IX SI PILATO,SI PILATO,Normalized (Formatting/Artifacts)
10,X KAYAMANA’T KARALITAAN,KAYAMANA’T KARALITAAN,Normalized (Formatting/Artifacts)
11,XI LOS BAÑOS,LOS BAÑOS,Formatting/Cleaning only (Foreign preserved)
12,XII PLACIDO PENITENTE,PLACIDO PENITENTE,Normalized (Formatting/Artifacts)
13,XIII ANG ARALAN Ng PISIKA,ANG ARALAN NG PISIKA,Normalized (Formatting/Artifacts)
14,XIV ISANG TAHANAN NANG MANgA NAG-AARAL,ISANG TAHANAN NANG MGA NAG-AARAL,Normalized: MANGA->MGA
15,XV SI G. PASTA,SI G. PASTA,Normalized (Formatting/Artifacts)
16,XVI ANG MgA KAPIGHATIAN Ng ISANG INSIK,ANG MGA KAPIGHATIAN NG ISANG INSIK,Normalized (Formatting/Artifacts)
17,XVII ANG PERIYA SA KIYAPO,ANG PERIYA SA KIYAPO,Normalized (Formatting/Artifacts)
18,XVIII MgA KADAYAAN,MGA KADAYAAN,Normalized (Formatting/Artifacts)
19,XIX ANG LAMBAL,ANG LAMBAL,Normalized (Formatting/Artifacts)
20,XX ANG NAGPAPALAGAY,ANG NAGPAPALAGAY,Normalized (Formatting/Artifacts)
21,XXI MgA AYOS MAYNILA,MGA AYOS MAYNILA,Normalized (Formatting/Artifacts)
22,XXII ANG PALABAS,ANG PALABAS,Normalized (Formatting/Artifacts)
23,XXIII ISANG BANGKAY,ISANG BANGKAY,Normalized (Formatting/Artifacts)
24,XXIV MgA PANgARAP,MGA PANGARAP,Normalized (Formatting/Artifacts)
25,XXV TAWANAN—IYAKAN,TAWANAN—IYAKAN,Normalized (Formatting/Artifacts)
26,XXVI MgA PASKIN,MGA PASKIN,Normalized (Formatting/Artifacts)
27,XXVII ANG PRAYLE AT ANG PILIPINO,ANG PRAYLE AT ANG PILIPINO,Normalized (Formatting/Artifacts)
28,XXVIII TATAKUT,TATAKUT,Normalized (Formatting/Artifacts)
29,XXIX MANgA HULING SALITANG UKOL KAY KAPITANG TIAGO,MGA HULING SALITANG UKOL KAY KAPITANG TIAGO,Normalized: MANGA->MGA
30,XXX HULI,HULI,Normalized (Formatting/Artifacts)
31,XXXI ANG MATAAS NA KAWANI,ANG MATAAS NA KAWANI,Normalized (Formatting/Artifacts)
32,XXXII MgA IBINUNgA Ng MgA PASKIN,MGA IBINUNGA NG MGA PASKIN,Normalized (Formatting/Artifacts)
33,XXXIII ANG HULING MATUWID,ANG HULING MATUWID,Normalized (Formatting/Artifacts)
34,XXXIV ANG KASAL,ANG KASAL,Normalized (Formatting/Artifacts)
35,XXXV ANG PISTA,ANG PISTA,Normalized (Formatting/Artifacts)
36,XXXVI MgA KAGIPITAN NI BEN-ZAYB,MGA KAGIPITAN NI BEN-ZAYB,Normalized (Formatting/Artifacts)
37,XXXVII ANG HIWAGA,ANG HIWAGA,Normalized (Formatting/Artifacts)
38,XXXVIII KASAWIAN,KASAWIAN,Normalized (Formatting/Artifacts)
39,XXXIX KATAPUSAN,KATAPUSAN,Normalized (Formatting/Artifacts)
